name,address,link,type of education,n_students,neighborhood,type,School Target,Other_schools_target,School fundamental,Other_schools_fundamental
Basisschool Groen van Prinsterer,Grote Fok 24,/basisscholen/urk/11680/basisschool-groen-van-prinsterer/,Prot. christelijk,204.0,Urk,Basic School,64.1,51.0,97.0,92.9
Basisschool Harmpje Visser,Clausstraat 2,/basisscholen/urk/11681/basisschool-harmpje-visser/,Prot. christelijk,425.0,Urk,Basic School,55.3,55.3,91.6,94.4
Frits Bodebasisschool,Nagel 1,/basisscholen/urk/11682/frits-bodebasisschool/,Prot. christelijk,295.0,Urk,Basic School,66.1,55.3,96.4,94.4
Kentalis Enkschool SO Urk (Harmpje Visserschool),Clausstraat 2,/basisscholen/urk/25246/kentalis-enkschool-so-urk-harmpje-visserschool/,Algemeen bijzonder,7.0,Urk,Basic School,,,,
Basisschool de Avonturijn,Kerkstraat 19,/basisscholen/urmond/12257/basisschool-de-avonturijn/,Katholiek Basisonderwijs109,109.0,Urmond,Basic School,75.7,59.2,100.0,95.6
OBS de Maaskei,Middenveld 1,/basisscholen/urmond/12267/obs-de-maaskei/,Openbaar Basisonderwijs404,404.0,Urmond,Basic School,60.0,59.2,95.6,95.6
Basisschool de Langereis,Middengouw 21,/basisscholen/ursem-gem-koggenland/10149/basisschool-de-langereis/,Openbaar Basisonderwijs25,25.0,Ursem (Gem. Koggenland),Basic School,56.9,54.5,100.0,94.2
BAVO-School,Middengouw 13,/basisscholen/ursem-gem-koggenland/12017/bavo-school/,Katholiek Basisonderwijs222,222.0,Ursem (Gem. Koggenland),Basic School,65.4,61.1,93.9,96.0
openbare basisschool De Noordster,Burg Geerlingstraat 2,/basisscholen/usquert/4677/openbare-basisschool-de-noordster/,Openbaar Basisonderwijs52,52.0,Usquert,Basic School,59.4,58.3,95.7,95.4
Agatha Snellenschool,Nicolaasdwarsstraat 3,/basisscholen/utrecht/8997/agatha-snellenschool/,Algemeen bijzonder,202.0,Utrecht,Basic School,83.3,77.6,98.0,98.8
Al Hambra,Azielaan 157,/basisscholen/utrecht/23279/al-hambra/,Confessioneel overig,312.0,Utrecht,Basic School,48.1,49.0,88.1,92.6
Montessorischool Arcade,Pauwoogvlinder 12,/basisscholen/utrecht/9789/montessorischool-arcade/,Algemeen bijzonder,328.0,Utrecht,Basic School,69.6,73.0,96.8,97.9
Montessori Kind Centrum LEF,Weerdsingel WZ 22,/basisscholen/utrecht/26824/montessori-kind-centrum-lef/,Algemeen bijzonder,47.0,Utrecht,Basic School,49.0,70.4,86.3,97.6
Auris Rotsoord,Rotsoord 36,/basisscholen/utrecht/23922/auris-rotsoord/,Algemeen bijzonder,172.0,Utrecht,Basic School,,,,
"Auris Fortaal, locatie Santa Cruzdreef",Santa Cruzdreef 30,/basisscholen/utrecht/23923/auris-fortaal-locatie-santa-cruzdreef/,Algemeen bijzonder,161.0,Utrecht,Basic School,,,,
"Auris Fortaal, locatie Agavedreef",Agavedreef 92,/basisscholen/utrecht/23842/auris-fortaal-locatie-agavedreef/,Algemeen bijzonder,99.0,Utrecht,Basic School,,,,
Mytylschool Ariane de Ranitz VSO,Blauwe Vogelweg 11,/basisscholen/utrecht/6129/mytylschool-ariane-de-ranitz-vso/,Algemeen bijzonder,129.0,Utrecht,Basic School,70.9,7.5,11.5,84.6
De Kleine Prins Utrecht Noord,Orinocodreef 15,/basisscholen/utrecht/10053/de-kleine-prins-utrecht-noord/,Algemeen bijzonder,96.0,Utrecht,Basic School,,,,
SO Fier,Winklerlaan 79,/basisscholen/utrecht/24881/so-fier/,Overige Speciaal,154.0,Utrecht,Basic School,70.9,7.5,36.4,60.6
Openbare basisschool De Cirkel,Prinses Margrietstraat 124,/basisscholen/utrecht/10072/openbare-basisschool-de-cirkel/,Openbaar Basisonderwijs222,222.0,Utrecht,Basic School,42.0,57.9,92.0,95.3
OBS Maaspleinschool,Maasplein 1,/basisscholen/utrecht/6154/obs-maaspleinschool/,Openbaar Basisonderwijs68,68.0,Utrecht,Basic School,53.8,50.4,93.2,92.8
Prinses Margrietschool,Prinses Margrietstraat 20,/basisscholen/utrecht/6155/prinses-margrietschool/,Openbaar Basisonderwijs160,160.0,Utrecht,Basic School,40.9,46.1,91.6,91.1
OBS Rietendakschool,Laan van Chartroise 160,/basisscholen/utrecht/6156/obs-rietendakschool/,Openbaar Basisonderwijs299,299.0,Utrecht,Basic School,65.3,60.8,94.4,96.0
Basisschool Jules Verne,Mariëndaalstraat 21,/basisscholen/utrecht/10073/basisschool-jules-verne/,Openbaar Basisonderwijs157,157.0,Utrecht,Basic School,49.8,52.4,97.0,93.6
Obs Overvecht,Eufraatdreef 1 (directiekantoor op locatie de Klopvaart),/basisscholen/utrecht/6157/obs-overvecht/,Openbaar Basisonderwijs618,618.0,Utrecht,Basic School,47.0,45.8,92.8,91.0
OBS Tuindorp,Prof. van Bemmelenlaan 34,/basisscholen/utrecht/10074/obs-tuindorp/,Openbaar Basisonderwijs389,389.0,Utrecht,Basic School,71.4,77.6,98.6,98.8
Openbare Jenaplanschool Wittevrouwen,Oude Kerkstraat 2a,/basisscholen/utrecht/10075/openbare-jenaplanschool-wittevrouwen/,Openbaar Basisonderwijs619,619.0,Utrecht,Basic School,74.1,77.6,98.8,98.8
Openbare Basisschool De Koekoek,Koekoeksplein 1 A,/basisscholen/utrecht/10076/openbare-basisschool-de-koekoek/,Openbaar Basisonderwijs337,337.0,Utrecht,Basic School,71.4,77.7,96.6,98.7
