,name,address,link,details,n_students,neighborhood,type
7687,Maashorstschool,Aldetiendstraat 21 a,/basisscholen/uden/25410/maashorstschool/,Algemeen bijzonderBasisonderwijs48 leerlingenNieuw / natuurlijk / conceptueel leren,48,Uden,Basic School
7688,Openbare basisschool De Klimboom,Leeuweriksweg 10,/basisscholen/uden/25020/openbare-basisschool-de-klimboom/,OpenbaarBasisonderwijs103 leerlingen,103,Uden,Basic School
7689,OBS Camelot,Germenzeel 500,/basisscholen/uden/25036/obs-camelot/,OpenbaarBasisonderwijs191 leerlingenErvaringsgericht Onderwijs,191,Uden,Basic School
7690,Openbare Basisschool de Cirkel,Wislaan 221,/basisscholen/uden/25090/openbare-basisschool-de-cirkel/,OpenbaarBasisonderwijs112 leerlingen,112,Uden,Basic School
7691,Kindcentrum de Mortel,Perweide 5,/basisscholen/udenhout/9509/kindcentrum-de-mortel/,SamenwerkingBasisonderwijs314 leerlingenJeelo,314,Udenhout,Basic School
7692,Basisschool De Wichelroede,Van Heeswijkstraat 1 B,/basisscholen/udenhout/5639/basisschool-de-wichelroede/,KatholiekBasisonderwijs338 leerlingen,338,Udenhout,Basic School
7693,Oosterveldschool,Schoolstraat 4,/basisscholen/uffelte/7432/oosterveldschool/,OpenbaarBasisonderwijs71 leerlingen,71,Uffelte,Basic School
7694,Daltonschool Eloy,Nijenbeek 8,/basisscholen/ugchelen/26439/daltonschool-eloy/,KatholiekBasisonderwijs256 leerlingenDalton,256,Ugchelen,Basic School
7695,IKC Spreng Ugchelen,Bogaardslaan 75,/basisscholen/ugchelen/12215/ikc-spreng-ugchelen/,Prot. christelijkBasisonderwijs319 leerlingen,319,Ugchelen,Basic School
7696,Kindcentrum Cornelis,Wiekenlaan 94,/basisscholen/uitgeest/9291/kindcentrum-cornelis/,KatholiekBasisonderwijs269 leerlingen,269,Uitgeest,Basic School
7697,Basisschool Binnenmeer,Langebuurt 31,/basisscholen/uitgeest/5395/basisschool-binnenmeer/,KatholiekBasisonderwijs277 leerlingen,277,Uitgeest,Basic School
7698,Kindcentrum Kornak,Benningskamplaan 60,/basisscholen/uitgeest/5401/kindcentrum-kornak/,KatholiekBasisonderwijs372 leerlingen,372,Uitgeest,Basic School
7699,Openbare Basisschool De Wissel,De Hoop 3,/basisscholen/uitgeest/9740/openbare-basisschool-de-wissel/,OpenbaarBasisonderwijs190 leerlingenDalton,190,Uitgeest,Basic School
7700,Jenaplanschool 't Startnest,Arthur van Schendellaan 100 E,/basisscholen/uithoorn/25685/jenaplanschool-t-startnest/,KatholiekBasisonderwijs222 leerlingenJenaplan,222,Uithoorn,Basic School
7701,Interconfessionele Basisschool de Vuurvogel,Arthur van Schendellaan 53,/basisscholen/uithoorn/5322/interconfessionele-basisschool-de-vuurvogel/,Prot. christelijkBasisonderwijs183 leerlingen,183,Uithoorn,Basic School
7702,De Kwikstaart,Randhoornweg 33,/basisscholen/uithoorn/5323/de-kwikstaart/,KatholiekBasisonderwijs676 leerlingen,676,Uithoorn,Basic School
7703,het Duet,Prinses Christinalaan 120,/basisscholen/uithoorn/9219/het-duet/,Confessioneel overigBasisonderwijs396 leerlingen,396,Uithoorn,Basic School
7704,De Springschans,Eendracht 8,/basisscholen/uithoorn/25639/de-springschans/,KatholiekBasisonderwijs414 leerlingen,414,Uithoorn,Basic School
7705,De Dolfijn,Randhoornweg 31,/basisscholen/uithoorn/5714/de-dolfijn/,KatholiekSpeciaal basisonderwijs160 leerlingen,160,Uithoorn,Basic School
7706,Openbare Basisschool Toermalijn,Randhoornweg 35,/basisscholen/uithoorn/10523/openbare-basisschool-toermalijn/,OpenbaarBasisonderwijs185 leerlingen,185,Uithoorn,Basic School
7707,OBS De Kajuit,Eendracht 2,/basisscholen/uithoorn/10526/obs-de-kajuit/,OpenbaarBasisonderwijs175 leerlingenIPC,175,Uithoorn,Basic School
7708,Openbare Basisschool Brunwerd,Oude Tilsterweg 2 b,/basisscholen/uithuizen/4683/openbare-basisschool-brunwerd/,OpenbaarBasisonderwijs135 leerlingen,135,Uithuizen,Basic School
7709,Christelijke Basisschool Koning Willem-Alexander,Oude Tilsterweg 2,/basisscholen/uithuizen/5952/christelijke-basisschool-koning-willem-alexander/,Prot. christelijkBasisonderwijs92 leerlingen,92,Uithuizen,Basic School
7710,Rooms Katholieke Basisschool De Schelp,Oude Tilsterweg 2c,/basisscholen/uithuizen/11528/rooms-katholieke-basisschool-de-schelp/,KatholiekBasisonderwijs101 leerlingen,101,Uithuizen,Basic School
7711,NBS De Sterren,Willem de Merodelaan 5,/basisscholen/uithuizermeeden/25804/nbs-de-sterren/,Algemeen bijzonderBasisonderwijs52 leerlingen,52,Uithuizermeeden,Basic School
7712,C B S  De Noordkaap,Willem de Merodelaan 1,/basisscholen/uithuizermeeden/9868/c-b-s-de-noordkaap/,Prot. christelijkBasisonderwijs148 leerlingen,148,Uithuizermeeden,Basic School
7713,Basisschool Het Prisma -school met de Bijbel,Langelandsterweg 1,/basisscholen/uithuizermeeden/25465/basisschool-het-prisma-school-met-de-bijbel/,Prot. christelijkBasisonderwijs118 leerlingen,118,Uithuizermeeden,Basic School
7714,Basisschool de Triangel,Kasteelstraat 22,/basisscholen/ulestraten/6464/basisschool-de-triangel/,KatholiekBasisonderwijs169 leerlingen,169,Ulestraten,Basic School
7715,Openbare Basisschool De Woelwaters,Middelgraaf 46,/basisscholen/ulft/26351/openbare-basisschool-de-woelwaters/,OpenbaarBasisonderwijs224 leerlingen,224,Ulft,Basic School
7716,Kindcentrum Oersprong,Wilgenstraat 6,/basisscholen/ulft/7843/kindcentrum-oersprong/,KatholiekBasisonderwijs235 leerlingen,235,Ulft,Basic School
7717,RK Mariaschool,Neptunus 8,/basisscholen/ulft/7845/rk-mariaschool/,KatholiekBasisonderwijs287 leerlingen,287,Ulft,Basic School
7718,Basisschool Bernardus,Bernardusstraat 13,/basisscholen/ulicoten/8954/basisschool-bernardus/,KatholiekBasisonderwijs68 leerlingen,68,Ulicoten,Basic School
7719,Hendrik de Cockschool,Borgweg 46 A,/basisscholen/ulrum/9874/hendrik-de-cockschool/,Prot. christelijkBasisonderwijs75 leerlingen,75,Ulrum,Basic School
7720,Kbs De Rosmolen,De Roskam 50,/basisscholen/ulvenhout-gem-breda/10102/kbs-de-rosmolen/,KatholiekBasisonderwijs218 leerlingen,218,Ulvenhout (Gem. Breda),Basic School
