name,address,link,type of education,n_students,neighborhood,type
"Scholengroep Driestar-Wartburg, locatie De Burcht",Carnissesingel 24,/middelbare-scholen/rotterdam/26156/scholengroep-driestar-wartburg-locatie-de-burcht/,Overige Voortgezet,51.0,Rotterdam,Middle School
De Theaterhavo/vwo,Pieter de Hoochstraat 29,/middelbare-scholen/rotterdam/1647/de-theaterhavo-vwo/,Samenwerking Voortgezet,554.0,Rotterdam,Middle School
Havo/vwo voor Muziek en Dans,Kruisplein 26,/middelbare-scholen/rotterdam/1649/havo-vwo-voor-muziek-en-dans/,Samenwerking Voortgezet,197.0,Rotterdam,Middle School
Mavo Centraal,Stationssingel 70,/middelbare-scholen/rotterdam/1650/mavo-centraal/,Confessioneel overig,274.0,Rotterdam,Middle School
Experience College,Spaanseweg 101,/middelbare-scholen/rotterdam/1651/experience-college/,Confessioneel overig,515.0,Rotterdam,Middle School
Rotterdam Designcollege,Beukelsdijk 145,/middelbare-scholen/rotterdam/1653/rotterdam-designcollege/,Samenwerking Voortgezet,794.0,Rotterdam,Middle School
Middelland College,Westzeedijk 497,/middelbare-scholen/rotterdam/1654/middelland-college/,Samenwerking Voortgezet,155.0,Rotterdam,Middle School
Horeca Vakschool Rotterdam,Noordsingel 72,/middelbare-scholen/rotterdam/1655/horeca-vakschool-rotterdam/,Samenwerking Voortgezet,270.0,Rotterdam,Middle School
Montessori Mavo,Walenburgerweg 35 B,/middelbare-scholen/rotterdam/1656/montessori-mavo/,Samenwerking Voortgezet,167.0,Rotterdam,Middle School
TooropMavo,Tooroplaan 8,/middelbare-scholen/rotterdam/1657/tooropmavo/,Samenwerking Voortgezet,406.0,Rotterdam,Middle School
MEX010 - Dé mavo voor Expressie,Mathenesserdijk 455,/middelbare-scholen/rotterdam/1658/mex010-de-mavo-voor-expressie/,Algemeen bijzonder,218.0,Rotterdam,Middle School
Lyceum Kralingen,Witte Hertstraat 1,/middelbare-scholen/rotterdam/1660/lyceum-kralingen/,Algemeen bijzonder,526.0,Rotterdam,Middle School
Vak College Hillegersberg,Argonautenweg 13,/middelbare-scholen/rotterdam/1662/vak-college-hillegersberg/,Algemeen bijzonder,333.0,Rotterdam,Middle School
"Het Lyceum Rotterdam voor Kunst, Wetenschap en Ondernemen",Beukelsdijk 91,/middelbare-scholen/rotterdam/1664/het-lyceum-rotterdam-voor-kunst-wetenschap-en-ondernemen/,Confessioneel overig,924.0,Rotterdam,Middle School
Roncalli mavo,Tattistraat 3,/middelbare-scholen/rotterdam/1672/roncalli-mavo/,Katholiek Voortgezet,388.0,Rotterdam,Middle School
