,name,address,link,details,n_students,neighborhood,type
5271,Sabina van Egmond,Sportlaan 1 B,/basisscholen/oud-beijerland/5806/sabina-van-egmond/,Prot. christelijkBasisonderwijs324 leerlingen,324,Oud-Beijerland,Basic School
5272,De Kriekenhof,W. van Vlietstraat 2 B,/basisscholen/oud-beijerland/9691/de-kriekenhof/,Prot. christelijkBasisonderwijs174 leerlingen,174,Oud-Beijerland,Basic School
5273,Keuchenius,Weegpad 4,/basisscholen/oud-beijerland/9692/keuchenius/,Prot. christelijkBasisonderwijs166 leerlingen,166,Oud-Beijerland,Basic School
5274,De Hoeksteen,Zilvermeeuw 2,/basisscholen/oud-beijerland/5807/de-hoeksteen/,Prot. christelijkBasisonderwijs285 leerlingen,285,Oud-Beijerland,Basic School
5275,School voor Speciaal Basisonderwijs Willem Alexander,Jordaensdreef 1,/basisscholen/oud-beijerland/9693/school-voor-speciaal-basisonderwijs-willem-alexander/,Prot. christelijkSpeciaal basisonderwijs56 leerlingen,56,Oud-Beijerland,Basic School
5276,ZML de Ark Oud-Beijerland,Graaf van Egmondstraat 46,/basisscholen/oud-beijerland/9695/zml-de-ark-oud-beijerland/,Prot. christelijkSpeciaal onderwijs35 leerlingen,35,Oud-Beijerland,Basic School
5277,IKC de Wereld op Centrum / Noord,W van Vlietstraat 2,/basisscholen/oud-beijerland/21767/ikc-de-wereld-op-centrum-noord/,OpenbaarBasisonderwijs222 leerlingen,222,Oud-Beijerland,Basic School
5278,Openbare Basisschool de Tandem,Weegpad 13,/basisscholen/oud-beijerland/10231/openbare-basisschool-de-tandem/,OpenbaarBasisonderwijs202 leerlingen,202,Oud-Beijerland,Basic School
5279,"OBS De Klinker, school voor vernieuwend onderwijs",Polderlaan 9,/basisscholen/oud-beijerland/21769/obs-de-klinker-school-voor-vernieuwend-onderwijs/,OpenbaarBasisonderwijs244 leerlingen,244,Oud-Beijerland,Basic School
5280,SBO Het Pluspunt,Graaf van Egmondstraat 79,/basisscholen/oud-beijerland/10239/sbo-het-pluspunt/,OpenbaarSpeciaal basisonderwijs99 leerlingen,99,Oud-Beijerland,Basic School
5281,Leeuwenhartschool,Jasmijnstraat 6,/basisscholen/oud-beijerland/23951/leeuwenhartschool/,Algemeen bijzonderBasisonderwijs184 leerlingenVrijeschool,184,Oud-Beijerland,Basic School
5282,Kath BS St Willibrordus,Frans Halsstraat 2,/basisscholen/oud-beijerland/11850/kath-bs-st-willibrordus/,KatholiekBasisonderwijs225 leerlingen,225,Oud-Beijerland,Basic School
5283,Openbare Basisschool De Westhoek,Dorpstienden 1,/basisscholen/ouddorp/6440/openbare-basisschool-de-westhoek/,OpenbaarBasisonderwijs200 leerlingen,200,Ouddorp,Basic School
5284,School Met De Bijbel Koningin Beatrix,Margrietweg 6,/basisscholen/ouddorp/8293/school-met-de-bijbel-koningin-beatrix/,Prot. christelijkBasisonderwijs363 leerlingen,363,Ouddorp,Basic School
5285,Openbare Basisschool Hendrik Wester,Burgemeester Snaterlaan 68c,/basisscholen/oude-pekela/10708/openbare-basisschool-hendrik-wester/,OpenbaarBasisonderwijs102 leerlingen,102,Oude Pekela,Basic School
5286,Kindcentrum Feiko Clock,Sportlaan 10,/basisscholen/oude-pekela/10709/kindcentrum-feiko-clock/,OpenbaarBasisonderwijs208 leerlingen,208,Oude Pekela,Basic School
5287,CBS de 7-Sprong,Burgemeester Snaterlaan 68 C,/basisscholen/oude-pekela/11165/cbs-de-7-sprong/,Prot. christelijkBasisonderwijs109 leerlingen,109,Oude Pekela,Basic School
5288,Sint Willibrordusschool,Burgemeester Snaterlaan 68 C,/basisscholen/oude-pekela/7730/sint-willibrordusschool/,KatholiekBasisonderwijs165 leerlingenJenaplan,165,Oude Pekela,Basic School
5289,IKC De Syl,Monnikebildtdijk 16,/basisscholen/oudebildtzijl/25219/ikc-de-syl/,SamenwerkingBasisonderwijs52 leerlingen,52,Oudebildtzijl,Basic School
5290,"Algemeen Bijzondere basisschool ""de Fluessen""",Aldewei 37,/basisscholen/oudega-gem-de-fryske-marren/10037/algemeen-bijzondere-basisschool-de-fluessen/,Prot. christelijkBasisonderwijs35 leerlingen,35,Oudega (Gem. De Fryske Marren),Basic School
5291,Samenwerkingsschool De Diamant,Buorren 34 A,/basisscholen/oudega-gem-smallingerland/5231/samenwerkingsschool-de-diamant/,Prot. christelijkBasisonderwijs136 leerlingen,136,Oudega (Gem. Smallingerland),Basic School
5292,IKC Klaver Fjouwer,Tsjerkemar 8,/basisscholen/oudega-gem-súdwest-fryslân/7561/ikc-klaver-fjouwer/,Prot. christelijkBasisonderwijs85 leerlingen,85,Oudega (Gem. Súdwest-Fryslân),Basic School
5293,CBS De Tarissing,De Vervening 1 A,/basisscholen/oudehaske/11363/cbs-de-tarissing/,Prot. christelijkBasisonderwijs175 leerlingen,175,Oudehaske,Basic School
5294,Wijbrandischool,Schoterlandseweg 19,/basisscholen/oudehorne/9888/wijbrandischool/,Prot. christelijkBasisonderwijs120 leerlingen,120,Oudehorne,Basic School
